[Mon Jan 23 23:00:27 2012] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Curl' not found in /home/fabex/dev/test/lib/BetaSerie.class.php on line 63
[Mon Jan 23 23:00:28 2012] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Curl' not found in /home/fabex/dev/test/lib/BetaSerie.class.php on line 63
[Mon Jan 23 23:10:58 2012] [error] [client 127.0.0.1] File does not exist: /home/fabex/dev/test/css/ui-lightness/jquery-ui-1.8.17.custom.min.js, referer: http://test/index2.php
[Mon Jan 23 23:18:24 2012] [error] [client 127.0.0.1] script '/home/fabex/dev/test/index2.php' not found or unable to stat
[Mon Jan 23 23:19:58 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined index: serie in /home/fabex/dev/test/search.php on line 9, referer: http://test/rename.php
[Mon Jan 23 23:20:16 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined index: serie in /home/fabex/dev/test/search.php on line 9, referer: http://test/rename.php
[Mon Jan 23 23:21:17 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined index: serie in /home/fabex/dev/test/search.php on line 9, referer: http://test/rename.php
[Mon Jan 23 23:22:38 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined index: serie in /home/fabex/dev/test/search.php on line 9, referer: http://test/rename.php
[Mon Jan 23 23:22:39 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined index: serie in /home/fabex/dev/test/search.php on line 9, referer: http://test/rename.php
[Mon Jan 23 23:22:58 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined index: serie in /home/fabex/dev/test/search.php on line 9, referer: http://test/rename.php
[Mon Jan 23 23:24:10 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined index: serie in /home/fabex/dev/test/search.php on line 9, referer: http://test/rename.php
[Mon Jan 23 23:24:18 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined index: serie in /home/fabex/dev/test/search.php on line 9, referer: http://test/rename.php
[Mon Jan 23 23:24:39 2012] [error] [client 127.0.0.1] PHP Notice:  Undefined index: serie in /home/fabex/dev/test/search.php on line 11, referer: http://test/rename.php
